23:48:17,331 WARN  eu.stratosphere.nephele.configuration.GlobalConfiguration     - Cannot load configuration: unknown element plugins
23:48:17,358 INFO  eu.stratosphere.nephele.discovery.DiscoveryService            - Discovery service socket is bound to /130.149.21.15:7001
23:48:17,377 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server Responder: starting
23:48:17,377 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server listener on 6002: starting
23:48:17,378 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server handler 0 on 6002: starting
23:48:17,378 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server handler 1 on 6002: starting
23:48:17,379 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server handler 2 on 6002: starting
23:48:17,379 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server handler 3 on 6002: starting
23:48:17,379 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server handler 4 on 6002: starting
23:48:17,379 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server handler 5 on 6002: starting
23:48:17,379 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server handler 6 on 6002: starting
23:48:17,379 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server handler 7 on 6002: starting
23:48:17,379 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server handler 8 on 6002: starting
23:48:17,380 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server handler 9 on 6002: starting
23:48:17,380 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server handler 10 on 6002: starting
23:48:17,380 INFO  eu.stratosphere.nephele.jobmanager.JobManager                 - Starting job manager in cluster mode
23:48:17,380 INFO  eu.stratosphere.nephele.ipc.Server                            - IPC Server handler 11 on 6002: starting
23:48:17,386 INFO  eu.stratosphere.nephele.jobmanager.JobManager                 - Trying to load eu.stratosphere.nephele.instance.cluster.ClusterManager as instance manager
23:48:17,393 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Loaded instance type standard from the configuration
23:48:17,415 INFO  eu.stratosphere.nephele.jobmanager.JobManager                 - Trying to load eu.stratosphere.nephele.jobmanager.scheduler.queue.QueueScheduler as scheduler
23:48:39,749 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Hardware profile of cluster instance with IP /130.149.21.17 matches with instance type standard (8,16,30720,40,0)
23:48:39,751 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Creating instance of type standard (8,16,30720,40,0) for cloud-13, parent is root
23:48:39,751 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - New number of registered hosts is 1
23:48:39,942 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Hardware profile of cluster instance with IP /130.149.21.18 matches with instance type standard (8,16,30720,40,0)
23:48:39,942 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Creating instance of type standard (8,16,30720,40,0) for cloud-14, parent is root
23:48:39,942 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - New number of registered hosts is 2
23:48:40,073 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Hardware profile of cluster instance with IP /130.149.21.21 matches with instance type standard (8,16,30720,40,0)
23:48:40,073 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Creating instance of type standard (8,16,30720,40,0) for cloud-17, parent is root
23:48:40,073 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - New number of registered hosts is 3
23:48:40,088 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Hardware profile of cluster instance with IP /130.149.21.19 matches with instance type standard (8,16,30720,40,0)
23:48:40,089 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Creating instance of type standard (8,16,30720,40,0) for cloud-15, parent is root
23:48:40,089 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - New number of registered hosts is 4
23:48:40,487 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Hardware profile of cluster instance with IP /130.149.21.20 matches with instance type standard (8,16,30720,40,0)
23:48:40,487 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Creating instance of type standard (8,16,30720,40,0) for cloud-16, parent is root
23:48:40,487 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - New number of registered hosts is 5
23:48:40,587 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Hardware profile of cluster instance with IP /130.149.21.23 matches with instance type standard (8,16,30720,40,0)
23:48:40,588 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Creating instance of type standard (8,16,30720,40,0) for cloud-19, parent is root
23:48:40,588 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - New number of registered hosts is 6
23:48:41,294 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Hardware profile of cluster instance with IP /130.149.21.16 matches with instance type standard (8,16,30720,40,0)
23:48:41,294 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Creating instance of type standard (8,16,30720,40,0) for cloud-12, parent is root
23:48:41,294 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - New number of registered hosts is 7
23:48:41,721 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Hardware profile of cluster instance with IP /130.149.21.28 matches with instance type standard (8,16,30720,40,0)
23:48:41,721 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Creating instance of type standard (8,16,30720,40,0) for cloud-24, parent is root
23:48:41,721 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - New number of registered hosts is 8
23:48:41,790 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Hardware profile of cluster instance with IP /130.149.21.26 matches with instance type standard (8,16,30720,40,0)
23:48:41,790 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Creating instance of type standard (8,16,30720,40,0) for cloud-22, parent is root
23:48:41,790 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - New number of registered hosts is 9
23:48:41,885 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Hardware profile of cluster instance with IP /130.149.21.29 matches with instance type standard (8,16,30720,40,0)
23:48:41,886 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Creating instance of type standard (8,16,30720,40,0) for cloud-25, parent is root
23:48:41,886 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - New number of registered hosts is 10
23:48:41,928 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Hardware profile of cluster instance with IP /130.149.21.27 matches with instance type standard (8,16,30720,40,0)
23:48:41,928 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Creating instance of type standard (8,16,30720,40,0) for cloud-23, parent is root
23:48:41,929 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - New number of registered hosts is 11
23:48:42,018 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Hardware profile of cluster instance with IP /130.149.21.30 matches with instance type standard (8,16,30720,40,0)
23:48:42,018 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Creating instance of type standard (8,16,30720,40,0) for cloud-26, parent is root
23:48:42,018 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - New number of registered hosts is 12
23:48:42,629 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Hardware profile of cluster instance with IP /130.149.21.25 matches with instance type standard (8,16,30720,40,0)
23:48:42,629 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Creating instance of type standard (8,16,30720,40,0) for cloud-21, parent is root
23:48:42,629 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - New number of registered hosts is 13
23:48:42,815 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Hardware profile of cluster instance with IP /130.149.21.22 matches with instance type standard (8,16,30720,40,0)
23:48:42,816 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Creating instance of type standard (8,16,30720,40,0) for cloud-18, parent is root
23:48:42,816 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - New number of registered hosts is 14
23:48:42,897 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Hardware profile of cluster instance with IP /130.149.21.60 matches with instance type standard (8,16,30720,40,0)
23:48:42,897 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Creating instance of type standard (8,16,30720,40,0) for cloud-27, parent is root
23:48:42,898 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - New number of registered hosts is 15
23:48:43,181 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Hardware profile of cluster instance with IP /130.149.21.24 matches with instance type standard (8,16,30720,40,0)
23:48:43,182 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Creating instance of type standard (8,16,30720,40,0) for cloud-20, parent is root
23:48:43,182 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - New number of registered hosts is 16
23:48:43,396 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Hardware profile of cluster instance with IP /130.149.21.3 matches with instance type standard (8,16,30720,40,0)
23:48:43,396 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Creating instance of type standard (8,16,30720,40,0) for cloud-29, parent is root
23:48:43,396 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - New number of registered hosts is 17
23:48:43,694 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Hardware profile of cluster instance with IP /130.149.21.2 matches with instance type standard (8,16,30720,40,0)
23:48:43,694 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Creating instance of type standard (8,16,30720,40,0) for cloud-30, parent is root
23:48:43,694 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - New number of registered hosts is 18
23:48:43,809 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Hardware profile of cluster instance with IP /130.149.21.33 matches with instance type standard (8,16,30720,40,0)
23:48:43,810 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Creating instance of type standard (8,16,30720,40,0) for cloud-31, parent is root
23:48:43,810 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - New number of registered hosts is 19
23:48:45,610 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Hardware profile of cluster instance with IP /130.149.21.61 matches with instance type standard (8,16,30720,40,0)
23:48:45,610 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Creating instance of type standard (8,16,30720,40,0) for cloud-28, parent is root
23:48:45,611 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - New number of registered hosts is 20
23:48:48,263 INFO  eu.stratosphere.nephele.jobmanager.JobManager                 - Creating initial execution graph from job graph WordCount Example
23:48:48,794 WARN  eu.stratosphere.pact.common.io.FileInputFormat                - Minimal split size of 1 is larger than the block size of 0. Decreasing minimal split size to block size.
23:48:49,018 INFO  eu.stratosphere.nephele.executiongraph.ExecutionGraph         - Job input vertex Input Lines generated 321 input splits
23:48:49,307 INFO  eu.stratosphere.nephele.jobmanager.splitassigner.InputSplitManager  - Trying to load input split assigner for type FileInputSplit
23:48:49,309 INFO  eu.stratosphere.nephele.jobmanager.JobManager                 - Scheduling job WordCount Example
23:48:49,319 INFO  eu.stratosphere.nephele.jobmanager.scheduler.AbstractScheduler  - Requesting the following instances for job 3e8024bd2549e800642f16550d83b800
23:48:49,320 INFO  eu.stratosphere.nephele.jobmanager.scheduler.AbstractScheduler  -  standard (8,16,30720,40,0) [20, 20]
23:48:49,320 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Trying to allocate instance of type standard
23:48:49,320 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Trying to allocate instance of type standard
23:48:49,320 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Trying to allocate instance of type standard
23:48:49,321 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Trying to allocate instance of type standard
23:48:49,321 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Trying to allocate instance of type standard
23:48:49,321 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Trying to allocate instance of type standard
23:48:49,321 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Trying to allocate instance of type standard
23:48:49,321 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Trying to allocate instance of type standard
23:48:49,321 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Trying to allocate instance of type standard
23:48:49,321 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Trying to allocate instance of type standard
23:48:49,321 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Trying to allocate instance of type standard
23:48:49,321 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Trying to allocate instance of type standard
23:48:49,321 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Trying to allocate instance of type standard
23:48:49,321 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Trying to allocate instance of type standard
23:48:49,321 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Trying to allocate instance of type standard
23:48:49,321 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Trying to allocate instance of type standard
23:48:49,321 INFO  eu.stratosphere.nephele.instance.cluster.ClusterManager       - Trying to allocate instance of type standard
